Generation,Is_Elite,Modules in Series,Modules in Parallel,Module Design,cell,module_voltage_sensor,module_temperature_sensor,module_pcb,module_bms,module_signal_connector,module,pack_voltage_sensor,pack_current_sensor,pack_pcb,pack_bms,pack_signal_connector,pack_power_connector,pack_busbar,pack_relay,pack_fuse,CC_Summed,CC_Aspect_glider,CC_Aspect_powertrain,CC_Aspect_energy storage,CC_Aspect_energy chain,CC_Aspect_maintenance,CC_Aspect_EOL,CC_Aspect_road,CC_Aspect_direct - non-exhaust,CC_Aspect_direct - exhaust,curb_mass,total_battery_mass,battery_cell_mass,battery_bop_mass,battery_lifetime_replacements,battery_cell_mass_share,battery_cell_mass_share_NMC,TtW_energy,TtW_efficiency,electricity_consumption
0,True,4,5,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0.07156902756014981,0.0059957180386033876,0.003747344510489946,0.02428092165256841,0.008747096802017577,0.0019405343441368191,0.00044684335834442265,0.026410568853989243,0.0,0.0,15812.4765625,3620.974365234375,2748.0,872.9743041992188,0.9362671375274658,0.7589117884635925,0.7589117884635925,4215.2197265625,0.7062216401100159,1.3775228261947632
0,False,5,13,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0.0614002469249883,0.005953762213823998,0.0037211219748974045,0.014487197608598314,0.008738833763005067,0.001926955200088218,0.00020583420037360416,0.02636654196420169,0.0,0.0,15981.2060546875,3757.523681640625,2748.0,1009.5238037109375,0.14268511533737183,0.7313327193260193,0.7313327193260193,4240.91455078125,0.7052925229072571,1.3859196901321411
0,False,4,15,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0.06181188437565406,0.005958124924705827,0.0037238486842871084,0.014876129590595767,0.008739130773854445,0.001928367206164091,0.00021507283137183375,0.02637121036467499,0.0,0.0,15963.662109375,3743.658935546875,2748.0,995.6588745117188,0.17462831735610962,0.7340412139892578,0.7340412139892578,4237.953125,0.7054040431976318,1.3849519491195679
0,False,5,11,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0.06257443132977152,0.005961989881926784,0.003726264295917272,0.015603374828834773,0.008744867476485096,0.001929618112590577,0.0002329861919067576,0.02637533054211026,0.0,0.0,15948.119140625,3729.02099609375,2748.0,981.0209350585938,0.2336137592792511,0.7369226217269897,0.7369226217269897,4237.98583984375,0.7053474187850952,1.3849626779556274
0,False,5,10,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0.06260435557072995,0.0059670340282060854,0.0037294169047871594,0.015621119396956044,0.008742373183842824,0.001931250667528753,0.00023247562728162324,0.02638068576212746,0.0,0.0,15927.8349609375,3714.152587890625,2748.0,966.1525268554688,0.2363801896572113,0.7398726940155029,0.7398726940155029,4233.19580078125,0.705467700958252,1.3833972215652466
0,False,5,9,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0.06336658363600572,0.005971753576331566,0.003732366638688277,0.016351394791372396,0.008742318443667284,0.0019327781651807998,0.0002503052858424888,0.026385666734922927,0.0,0.0,15908.8564453125,3699.240234375,2748.0,951.240234375,0.2956927418708801,0.7428552508354187,0.7428552508354187,4229.8232421875,0.7055884599685669,1.3822952508926392
0,False,5,7,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0.06405077665897069,0.0059811187560983485,0.0037382199084322596,0.016991853143666472,0.008743628712813105,0.0019358092371657477,0.00026467551949682416,0.026395471381297927,0.0,0.0,15871.1875,3668.960693359375,2748.0,920.9607543945312,0.34970808029174805,0.7489859461784363,0.7489859461784363,4223.83349609375,0.7058334946632385,1.3803377151489258
0,False,4,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.06419544282988517,0.005980079845908385,0.003737570585970432,0.017135891060036754,0.00874343345613262,0.0019354729903824405,0.0002686055269433685,0.026394389364511165,0.0,0.0,15875.3671875,3672.345703125,2748.0,924.3456420898438,0.360777884721756,0.7482956051826477,0.7482956051826477,4224.47314453125,0.7058061361312866,1.3805466890335083
0,False,3,11,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.06468841282696786,0.005982777248453077,0.003739256471889908,0.017608779237085145,0.008743957174757663,0.0019363460138041948,0.000280095762280944,0.026397200918696923,0.0,0.0,15864.521484375,3663.551513671875,2748.0,915.551513671875,0.39932358264923096,0.7500917911529541,0.7500917911529541,4222.8212890625,0.7058773040771484,1.3800069093704224
0,False,2,15,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0.06547181177123484,0.005985512505384167,0.003740966016931804,0.01836473327005881,0.00874454218083294,0.0019372312889256473,0.00029878329340461045,0.026400043215696858,0.0,0.0,15853.521484375,3654.601318359375,2748.0,906.6013793945312,0.46045705676078796,0.7519288063049316,0.7519288063049316,4221.173828125,0.7059497833251953,1.379468560218811
