Generation,Is_Elite,Modules in Series,Modules in Parallel,Module Design,cell,module_voltage_sensor,module_temperature_sensor,module_pcb,module_bms,module_signal_connector,module,pack_voltage_sensor,pack_current_sensor,pack_pcb,pack_bms,pack_signal_connector,pack_power_connector,pack_busbar,pack_relay,pack_fuse,CC_Summed,CC_Aspect_glider,CC_Aspect_powertrain,CC_Aspect_energy storage,CC_Aspect_energy chain,CC_Aspect_maintenance,CC_Aspect_EOL,CC_Aspect_road,CC_Aspect_direct - non-exhaust,CC_Aspect_direct - exhaust,curb_mass,total_battery_mass,battery_cell_mass,battery_bop_mass,battery_lifetime_replacements,battery_cell_mass_share,battery_cell_mass_share_NMC,TtW_energy,TtW_efficiency,electricity_consumption
0,True,3,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.32077641726191203,0.005991673998546015,0.00374481697146766,0.21150989881562104,0.06596129233639479,0.0019392254769469565,0.005223097473126725,0.026406412189808843,0.0,0.0,15828.7421875,3634.3388671875,2748.0,886.3389282226562,15.848196983337402,0.7561209797859192,0.7561209797859192,4217.546875,0.7061136364936829,1.3782832622528076
0,False,5,12,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0.11896347316582032,0.005958233242334424,0.0037239163831796008,0.014857623930670813,0.06590939721028925,0.001928402263529533,0.00021457238417550882,0.02637132775164117,0.0,0.0,15963.2265625,3743.3134765625,2748.0,995.3134765625,0.1731986701488495,0.7341089844703674,0.7341089844703674,4237.88134765625,0.7054068446159363,1.3849284648895264
0,False,5,12,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0.11910742722836039,0.005958170308707711,0.0037238770494452474,0.014998160070385324,0.06590935345873852,0.0019283818948492096,0.00021822381351933016,0.026371260632715054,0.0,0.0,15963.4794921875,3743.513671875,2748.0,995.513671875,0.1842772364616394,0.7340697050094604,0.7340697050094604,4237.92333984375,0.7054051756858826,1.3849421739578247
0,False,5,13,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0.11919054808510202,0.005953683665015648,0.0037210728816205224,0.015093754984809124,0.06590706308610386,0.0019269297775017468,0.000221586221710633,0.026366457468340477,0.0,0.0,15981.5244140625,3757.77490234375,2748.0,1009.7748413085938,0.19050438702106476,0.7312838435173035,0.7312838435173035,4240.96923828125,0.7052904963493347,1.3859376907348633
0,False,5,11,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0.11995604893131073,0.005962186806168638,0.0037263873742494984,0.01577403556836435,0.06595085467606557,0.0019296818477849357,0.00023736173404077682,0.02637554092463698,0.0,0.0,15947.3291015625,3728.498291015625,2748.0,980.498291015625,0.24715040624141693,0.7370259761810303,0.7370259761810303,4237.73486328125,0.7053515911102295,1.3848806619644165
0,False,3,15,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0.11996566012311757,0.005971415610359024,0.003732155408786574,0.015775356375673642,0.06593320249026892,0.0019326687813551022,0.00023555013514189218,0.026385311321532438,0.0,0.0,15910.2158203125,3700.319580078125,2748.0,952.319580078125,0.24994054436683655,0.7426385283470154,0.7426385283470154,4230.052734375,0.7055797576904297,1.3823702335357666
0,False,5,10,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.11998214011434474,0.005967029779724236,0.0037294142494713103,0.01580283077199365,0.06593377461037774,0.0019312492924932884,0.00023716282871720653,0.026380678581567313,0.0,0.0,15927.8515625,3714.1650390625,2748.0,966.1649780273438,0.25076115131378174,0.7398701906204224,0.7398701906204224,4233.19873046875,0.7054676413536072,1.3833982944488525
0,False,4,9,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0.12082239462970269,0.0059800731405009605,0.0037375663950676005,0.016578805661414644,0.06594177261607137,0.0019354708201547355,0.0002543229724742399,0.026394383024019134,0.0,0.0,15875.39453125,3672.368408203125,2748.0,924.368408203125,0.31653666496276855,0.7482909560203552,0.7482909560203552,4224.47802734375,0.7058059573173523,1.380548357963562
0,False,3,10,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0.12201952553875223,0.005985668846425837,0.003741063730623558,0.017722590570909958,0.06595039226311655,0.0019372818892305324,0.00028232209927298485,0.026400206139172808,0.0,0.0,15852.892578125,3654.088623046875,2748.0,906.0886840820312,0.40944942831993103,0.7520343065261841,0.7520343065261841,4221.08056640625,0.70595383644104,1.379438042640686
0,False,3,8,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0.1255489179317218,0.005991547939666645,0.0037447381842320754,0.02113808471228658,0.06596105697555639,0.0019391846775659272,0.0003680235939330504,0.026406281848481126,0.0,0.0,15829.2509765625,3634.756591796875,2748.0,886.7567138671875,0.6837339997291565,0.7560340762138367,0.7560340762138367,4217.62060546875,0.7061102390289307,1.3783073425292969
0,False,2,12,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0.12572452727180433,0.005991434735970422,0.0037446674315304183,0.02130984448725652,0.06596083188032949,0.0019391480388082356,0.0003724362381715539,0.026406164459737706,0.0,0.0,15829.703125,3635.127685546875,2748.0,887.127685546875,0.6973639130592346,0.7559569478034973,0.7559569478034973,4217.68603515625,0.7061071991920471,1.3783286809921265
0,False,3,7,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0.12831843002109433,0.005994610345138828,0.003746652198243607,0.023824854027910316,0.06596712216228537,0.0019401758354149424,0.0004355843353545443,0.026409431116746727,0.0,0.0,15816.931640625,3624.63916015625,2748.0,876.6392822265625,0.8993245959281921,0.7581443786621094,0.7581443786621094,4215.853515625,0.7061920762062073,1.377729892730713
